Date,Nav,Shares Outstanding,Total Net Assets,,,,,,,,,,
08-May-2007,150.845201,401012491.0,60490809809.15,,,,,,,,,,
07-May-2007,151.008456,394312491.0,59544520305.78,,,,,,,,,,
04-May-2007,150.617636,402712491.0,60655603439.92,,,,,,,,,,
03-May-2007,150.293327,402962491.0,60562573548.72,,,,,,,,,,
02-May-2007,149.603885,402612491.0,60232392642.34,,,,,,,,,,
01-May-2007,148.628705,395712491.0,58814234928.44,,,,,,,,,,
30-Apr-2007,148.237879,403593933.0,59827908458.42,,,,,,,,,,
27-Apr-2007,149.403548,404993933.0,60507530331.45,,,,,,,,,,
26-Apr-2007,149.416793,405993933.0,60662311343.85,,,,,,,,,,
25-Apr-2007,149.519586,406293933.0,60748900497.94,,,,,,,,,,
24-Apr-2007,148.009285,407493933.0,60312885559.6,,,,,,,,,,
23-Apr-2007,148.06271,407793933.0,60379075044.16,,,,,,,,,,
20-Apr-2007,148.401721,409393933.0,60754764388.34,,,,,,,,,,
19-Apr-2007,147.040351,400693933.0,58918176748.17,,,,,,,,,,
18-Apr-2007,147.213742,392943933.0,57846746955.58,,,,,,,,,,
17-Apr-2007,147.109959,390943933.0,57511745801.39,,,,,,,,,,
16-Apr-2007,146.810554,386843933.0,56792772225.58,,,,,,,,,,
13-Apr-2007,145.250634,391593933.0,56879267040.19,,,,,,,,,,
12-Apr-2007,144.748942,397893933.0,57594725857.35,,,,,,,,,,
11-Apr-2007,143.856615,410893933.0,59109810255.53,,,,,,,,,,
10-Apr-2007,144.789998,408643933.0,59167554409.55,,,,,,,,,,
09-Apr-2007,144.410725,409043933.0,59070330838.33,,,,,,,,,,
05-Apr-2007,144.324637,416543933.0,60117552052.18,,,,,,,,,,
04-Apr-2007,143.845306,412743933.0,59371277154.79,,,,,,,,,,
03-Apr-2007,143.684638,417043933.0,59922806510.72,,,,,,,,,,
02-Apr-2007,142.336925,427243933.0,60812587779.71,,,,,,,,,,
30-Mar-2007,141.969344,428593933.0,60847199438.26,,,,,,,,,,
29-Mar-2007,142.135269,432293933.0,61444214555.88,,,,,,,,,,
28-Mar-2007,141.600607,429343933.0,60795361541.67,,,,,,,,,,
27-Mar-2007,142.705852,424843933.0,60627715221.52,,,,,,,,,,
26-Mar-2007,143.592563,424343933.0,60932632821.42,,,,,,,,,,
23-Mar-2007,143.455798,419143933.0,60128627391.68,,,,,,,,,,
22-Mar-2007,143.299574,430993933.0,61761247083.22,,,,,,,,,,
