Date,Discount
16-Mar-15,0.01
13-Mar-15,-0.01
12-Mar-15,0
11-Mar-15,0.01
10-Mar-15,0.06
9-Mar-15,0.01
6-Mar-15,-0.02
5-Mar-15,0
4-Mar-15,0.01
3-Mar-15,0.02
2-Mar-15,-0.02
27-Feb-15,-0.03
26-Feb-15,0.01
25-Feb-15,-0.02
24-Feb-15,0.03
23-Feb-15,0.01
20-Feb-15,0.01
19-Feb-15,0.03
18-Feb-15,0.01
17-Feb-15,-0.02
13-Feb-15,-0.01
12-Feb-15,-0.03
11-Feb-15,0.01
10-Feb-15,-0.02
9-Feb-15,-0.04
6-Feb-15,0
5-Feb-15,0.01
4-Feb-15,0.02
3-Feb-15,-0.01
2-Feb-15,-0.02
30-Jan-15,0.06
29-Jan-15,0.03
28-Jan-15,0.03
27-Jan-15,0.01
26-Jan-15,-0.01
23-Jan-15,0
22-Jan-15,0
21-Jan-15,0.05
20-Jan-15,0.02
16-Jan-15,-0.07
15-Jan-15,0
14-Jan-15,0.01
13-Jan-15,0.01
12-Jan-15,0.04
9-Jan-15,-0.01
8-Jan-15,0
7-Jan-15,0.02
6-Jan-15,-0.05
5-Jan-15,0.05
2-Jan-15,-0.03
31-Dec-14,0.01
30-Dec-14,-0.01
29-Dec-14,0.05
26-Dec-14,0
24-Dec-14,0.03
23-Dec-14,0
22-Dec-14,0.03
19-Dec-14,-0.02
18-Dec-14,0.01
17-Dec-14,0
16-Dec-14,0.02
15-Dec-14,-0.05
12-Dec-14,0.01
11-Dec-14,0.02
10-Dec-14,0.01
9-Dec-14,-0.02
8-Dec-14,0.03
5-Dec-14,-0.01
4-Dec-14,-0.01
3-Dec-14,0
2-Dec-14,0
1-Dec-14,0.01
28-Nov-14,0.02
26-Nov-14,-0.01
25-Nov-14,0.06
24-Nov-14,0.01
21-Nov-14,0.01
20-Nov-14,0.01
19-Nov-14,0.01
18-Nov-14,0.04
17-Nov-14,0.01
14-Nov-14,0.02
13-Nov-14,0.02
12-Nov-14,-0.02
11-Nov-14,0.04
10-Nov-14,0
7-Nov-14,0.02
6-Nov-14,-0.01
5-Nov-14,0
4-Nov-14,-0.03
3-Nov-14,0
31-Oct-14,-0.05
30-Oct-14,0
29-Oct-14,-0.03
28-Oct-14,-0.04
27-Oct-14,0
24-Oct-14,-0.01
23-Oct-14,-0.03
22-Oct-14,0.03
21-Oct-14,0.01
20-Oct-14,0
17-Oct-14,-0.03
16-Oct-14,0.02
15-Oct-14,0.06
14-Oct-14,0.04
13-Oct-14,0
10-Oct-14,0
9-Oct-14,-0.01
8-Oct-14,-0.06
7-Oct-14,-0.02
6-Oct-14,0
3-Oct-14,-0.03
2-Oct-14,-0.01
1-Oct-14,-0.02
30-Sep-14,0.02
29-Sep-14,0.01
26-Sep-14,-0.03
25-Sep-14,0.02
24-Sep-14,0.03
23-Sep-14,0.02
22-Sep-14,0.02
19-Sep-14,0.02
18-Sep-14,0.02
17-Sep-14,0
16-Sep-14,0.01
15-Sep-14,0.01
12-Sep-14,0.01
11-Sep-14,-0.01
10-Sep-14,0.01
9-Sep-14,0.01
8-Sep-14,-0.02
5-Sep-14,-0.04
4-Sep-14,0.01
3-Sep-14,0
2-Sep-14,-0.02
29-Aug-14,-0.01
28-Aug-14,0.05
27-Aug-14,-0.04
26-Aug-14,0.02
25-Aug-14,0.03
22-Aug-14,0.01
21-Aug-14,-0.01
20-Aug-14,0
19-Aug-14,-0.02
18-Aug-14,-0.02
15-Aug-14,0
14-Aug-14,0.01
13-Aug-14,0.02
12-Aug-14,0.01
11-Aug-14,-0.02
8-Aug-14,-0.01
7-Aug-14,-0.02
6-Aug-14,-0.02
5-Aug-14,-0.02
4-Aug-14,0
1-Aug-14,0
31-Jul-14,0.01
30-Jul-14,0.02
29-Jul-14,0.02
28-Jul-14,-0.01
25-Jul-14,-0.01
24-Jul-14,-0.03
23-Jul-14,0.02
22-Jul-14,-0.03
21-Jul-14,0.03
18-Jul-14,0
17-Jul-14,0
16-Jul-14,-0.03
15-Jul-14,0.03
14-Jul-14,0.01
11-Jul-14,0
10-Jul-14,0.02
9-Jul-14,0
8-Jul-14,0.03
7-Jul-14,0
3-Jul-14,-0.03
2-Jul-14,0.01
1-Jul-14,-0.01
30-Jun-14,-0.02
27-Jun-14,0
26-Jun-14,0.01
25-Jun-14,-0.03
24-Jun-14,0.02
23-Jun-14,-0.02
20-Jun-14,0.01
19-Jun-14,-0.02
18-Jun-14,0
17-Jun-14,0.03
16-Jun-14,-0.02
13-Jun-14,-0.02
12-Jun-14,-0.02
11-Jun-14,0.02
10-Jun-14,0.02
9-Jun-14,-0.01
6-Jun-14,-0.02
5-Jun-14,-0.03
4-Jun-14,-0.02
3-Jun-14,-0.01
2-Jun-14,0
30-May-14,-0.04
29-May-14,0
28-May-14,0.01
27-May-14,0.01
23-May-14,0
22-May-14,0.01
